city_name,city_code,province_code
Aceh Barat,ID1107,ID11
Aceh Barat Daya,ID1112,ID11
Aceh Besar,ID1108,ID11
Aceh Jaya,ID1116,ID11
Aceh Selatan,ID1103,ID11
Aceh Singkil,ID1102,ID11
Aceh Tamiang,ID1114,ID11
Aceh Tengah,ID1106,ID11
Aceh Tenggara,ID1104,ID11
Aceh Timur,ID1105,ID11
Aceh Utara,ID1111,ID11
Agam,ID1307,ID13
Alor,ID5307,ID53
Asahan,ID1208,ID12
Asmat,ID9415,ID94
Badung,ID5103,ID51
Balangan,ID6311,ID63
Bandung,ID3204,ID32
Bandung Barat,ID3217,ID32
Banggai,ID7202,ID72
Banggai Kepulauan,ID7201,ID72
Banggai Laut,ID7211,ID72
Bangka,ID1901,ID19
Bangka Barat,ID1903,ID19
Bangka Selatan,ID1905,ID19
Bangka Tengah,ID1904,ID19
Bangkalan,ID3526,ID35
Bangli,ID5106,ID51
Banjar,ID6303,ID63
Banjarnegara,ID3304,ID33
Bantaeng,ID7303,ID73
Bantul,ID3402,ID34
Banyu Asin,ID1607,ID16
Banyumas,ID3302,ID33
Banyuwangi,ID3510,ID35
Barito Kuala,ID6304,ID63
Barito Selatan,ID6204,ID62
Barito Timur,ID6212,ID62
Barito Utara,ID6205,ID62
Barru,ID7310,ID73
Batang,ID3325,ID33
Batang Hari,ID1504,ID15
Batu Bara,ID1219,ID12
Bekasi,ID3216,ID32
Belitung,ID1902,ID19
Belitung Timur,ID1906,ID19
Belu,ID5306,ID53
Bener Meriah,ID1117,ID11
Bengkalis,ID1408,ID14
Bengkayang,ID6102,ID61
Bengkulu Selatan,ID1701,ID17
Bengkulu Tengah,ID1709,ID17
Bengkulu Utara,ID1703,ID17
Berau,ID6405,ID64
Biak Numfor,ID9409,ID94
Bima,ID5206,ID52
Bintan,ID2102,ID21
Bireuen,ID1110,ID11
Blitar,ID3505,ID35
Blora,ID3316,ID33
Boalemo,ID7501,ID75
Bogor,ID3201,ID32
Bojonegoro,ID3522,ID35
Bolaang Mongondow,ID7101,ID71
Bolaang Mongondow Selatan,ID7110,ID71
Bolaang Mongondow Timur,ID7111,ID71
Bolaang Mongondow Utara,ID7107,ID71
Bombana,ID7406,ID74
Bondowoso,ID3511,ID35
Bone,ID7311,ID73
Bone Bolango,ID7504,ID75
Boven Digoel,ID9413,ID94
Boyolali,ID3309,ID33
Brebes,ID3329,ID33
Buleleng,ID5108,ID51
Bulukumba,ID7302,ID73
Bulungan,ID6502,ID65
Bungo,ID1509,ID15
Buol,ID7207,ID72
Buru,ID8104,ID81
Buru Selatan,ID8109,ID81
Buton,ID7401,ID74
Buton Selatan,ID7415,ID74
Buton Tengah,ID7414,ID74
Buton Utara,ID7409,ID74
Ciamis,ID3207,ID32
Cianjur,ID3203,ID32
Cilacap,ID3301,ID33
Cirebon,ID3209,ID32
Dairi,ID1210,ID12
Danau,ID1388,ID13
Danau,ID1688,ID16
Danau,ID1888,ID18
Danau,ID7188,ID71
Danau Toba,ID1288,ID12
Deiyai,ID9436,ID94
Deli Serdang,ID1212,ID12
Demak,ID3321,ID33
Dharmasraya,ID1311,ID13
Dogiyai,ID9434,ID94
Dompu,ID5205,ID52
Donggala,ID7205,ID72
Empat Lawang,ID1611,ID16
Ende,ID5311,ID53
Enrekang,ID7316,ID73
Fakfak,ID9101,ID91
Flores Timur,ID5309,ID53
Garut,ID3205,ID32
Gayo Lues,ID1113,ID11
Gianyar,ID5104,ID51
Gorontalo,ID7502,ID75
Gorontalo Utara,ID7505,ID75
Gowa,ID7306,ID73
Gresik,ID3525,ID35
Grobogan,ID3315,ID33
Gunung Kidul,ID3403,ID34
Gunung Mas,ID6211,ID62
Halmahera Barat,ID8201,ID82
Halmahera Selatan,ID8204,ID82
Halmahera Tengah,ID8202,ID82
Halmahera Timur,ID8206,ID82
Halmahera Utara,ID8205,ID82
Hulu Sungai Selatan,ID6306,ID63
Hulu Sungai Tengah,ID6307,ID63
Hulu Sungai Utara,ID6308,ID63
Humbang Hasundutan,ID1215,ID12
Hutan,ID3399,ID33
Indragiri Hilir,ID1403,ID14
Indragiri Hulu,ID1402,ID14
Indramayu,ID3212,ID32
Intan Jaya,ID9435,ID94
Jayapura,ID9403,ID94
Jayawijaya,ID9402,ID94
Jember,ID3509,ID35
Jembrana,ID5101,ID51
Jeneponto,ID7304,ID73
Jepara,ID3320,ID33
Jombang,ID3517,ID35
Kaimana,ID9102,ID91
Kampar,ID1406,ID14
Kapuas,ID6203,ID62
Kapuas Hulu,ID6108,ID61
Karang Asem,ID5107,ID51
Karanganyar,ID3313,ID33
Karawang,ID3215,ID32
Karimun,ID2101,ID21
Karo,ID1211,ID12
Katingan,ID6209,ID62
Kaur,ID1704,ID17
Kayong Utara,ID6111,ID61
Kebumen,ID3305,ID33
Kediri,ID3506,ID35
Keerom,ID9420,ID94
Kendal,ID3324,ID33
Kepahiang,ID1708,ID17
Kepulauan Anambas,ID2105,ID21
Kepulauan Aru,ID8105,ID81
Kepulauan Mentawai,ID1301,ID13
Kepulauan Meranti,ID1410,ID14
Kepulauan Sangihe,ID7103,ID71
Kepulauan Selayar,ID7301,ID73
Kepulauan Seribu,ID3101,ID31
Kepulauan Sula,ID8203,ID82
Kepulauan Talaud,ID7104,ID71
Kepulauan Yapen,ID9408,ID94
Kerinci,ID1501,ID15
Ketapang,ID6106,ID61
Klaten,ID3310,ID33
Klungkung,ID5105,ID51
Kolaka,ID7404,ID74
Kolaka Timur,ID7411,ID74
Kolaka Utara,ID7408,ID74
Konawe,ID7403,ID74
Konawe Kepulauan,ID7412,ID74
Konawe Selatan,ID7405,ID74
Konawe Utara,ID7410,ID74
Kota Ambon,ID8171,ID81
Kota Balikpapan,ID6471,ID64
Kota Banda Aceh,ID1171,ID11
Kota Bandar Lampung,ID1871,ID18
Kota Bandung,ID3273,ID32
Kota Banjar,ID3279,ID32
Kota Banjar Baru,ID6372,ID63
Kota Banjarmasin,ID6371,ID63
Kota Baru,ID6302,ID63
Kota Batam,ID2171,ID21
Kota Batu,ID3579,ID35
Kota Baubau,ID7472,ID74
Kota Bekasi,ID3275,ID32
Kota Bengkulu,ID1771,ID17
Kota Bima,ID5272,ID52
Kota Binjai,ID1276,ID12
Kota Bitung,ID7172,ID71
Kota Blitar,ID3572,ID35
Kota Bogor,ID3271,ID32
Kota Bontang,ID6474,ID64
Kota Bukittinggi,ID1375,ID13
Kota Cilegon,ID3672,ID36
Kota Cimahi,ID3277,ID32
Kota Cirebon,ID3274,ID32
Kota Denpasar,ID5171,ID51
Kota Depok,ID3276,ID32
Kota Dumai,ID1473,ID14
Kota Gorontalo,ID7571,ID75
Kota Gunungsitoli,ID1278,ID12
Kota Jakarta Barat,ID3174,ID31
Kota Jakarta Pusat,ID3173,ID31
Kota Jakarta Selatan,ID3171,ID31
Kota Jakarta Timur,ID3172,ID31
Kota Jakarta Utara,ID3175,ID31
Kota Jambi,ID1571,ID15
Kota Jayapura,ID9471,ID94
Kota Kediri,ID3571,ID35
Kota Kendari,ID7471,ID74
Kota Kotamobagu,ID7174,ID71
Kota Kupang,ID5371,ID53
Kota Langsa,ID1173,ID11
Kota Lhokseumawe,ID1174,ID11
Kota Lubuklinggau,ID1674,ID16
Kota Madiun,ID3577,ID35
Kota Magelang,ID3371,ID33
Kota Makassar,ID7371,ID73
Kota Malang,ID3573,ID35
Kota Manado,ID7171,ID71
Kota Mataram,ID5271,ID52
Kota Medan,ID1275,ID12
Kota Metro,ID1872,ID18
Kota Mojokerto,ID3576,ID35
Kota Padang,ID1371,ID13
Kota Padang Panjang,ID1374,ID13
Kota Padangsidimpuan,ID1277,ID12
Kota Pagar Alam,ID1673,ID16
Kota Palangka Raya,ID6271,ID62
Kota Palembang,ID1671,ID16
Kota Palopo,ID7373,ID73
Kota Palu,ID7271,ID72
Kota Pangkal Pinang,ID1971,ID19
Kota Parepare,ID7372,ID73
Kota Pariaman,ID1377,ID13
Kota Pasuruan,ID3575,ID35
Kota Payakumbuh,ID1376,ID13
Kota Pekalongan,ID3375,ID33
Kota Pekanbaru,ID1471,ID14
Kota Pematang Siantar,ID1273,ID12
Kota Pontianak,ID6171,ID61
Kota Prabumulih,ID1672,ID16
Kota Probolinggo,ID3574,ID35
Kota Sabang,ID1172,ID11
Kota Salatiga,ID3373,ID33
Kota Samarinda,ID6472,ID64
Kota Sawah Lunto,ID1373,ID13
Kota Semarang,ID3374,ID33
Kota Serang,ID3673,ID36
Kota Sibolga,ID1271,ID12
Kota Singkawang,ID6172,ID61
Kota Solok,ID1372,ID13
Kota Sorong,ID9171,ID91
Kota Subulussalam,ID1175,ID11
Kota Sukabumi,ID3272,ID32
Kota Sungai Penuh,ID1572,ID15
Kota Surabaya,ID3578,ID35
Kota Surakarta,ID3372,ID33
Kota Tangerang,ID3671,ID36
Kota Tangerang Selatan,ID3674,ID36
Kota Tanjung Balai,ID1272,ID12
Kota Tanjung Pinang,ID2172,ID21
Kota Tarakan,ID6571,ID65
Kota Tasikmalaya,ID3278,ID32
Kota Tebing Tinggi,ID1274,ID12
Kota Tegal,ID3376,ID33
Kota Ternate,ID8271,ID82
Kota Tidore Kepulauan,ID8272,ID82
Kota Tomohon,ID7173,ID71
Kota Tual,ID8172,ID81
Kota Yogyakarta,ID3471,ID34
Kotawaringin Barat,ID6201,ID62
Kotawaringin Timur,ID6202,ID62
Kuantan Singingi,ID1401,ID14
Kubu Raya,ID6112,ID61
Kudus,ID3319,ID33
Kulon Progo,ID3401,ID34
Kuningan,ID3208,ID32
Kupang,ID5303,ID53
Kutai Barat,ID6402,ID64
Kutai Kartanegara,ID6403,ID64
Kutai Timur,ID6404,ID64
Labuhan Batu,ID1207,ID12
Labuhan Batu Selatan,ID1222,ID12
Labuhan Batu Utara,ID1223,ID12
Lahat,ID1604,ID16
Lamandau,ID6207,ID62
Lamongan,ID3524,ID35
Lampung Barat,ID1801,ID18
